[V2 - 2026-04-22T23:33:56.691Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:58.469Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:58.678Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:58.813Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:59.027Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:59.233Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:59.276Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:59.339Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:59.385Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:59.433Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:59.481Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:59.531Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:59.584Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:59.979Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:00.057Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:00.116Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:00.276Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:00.417Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:00.464Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:00.523Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:00.572Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:00.877Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:00.937Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:01.002Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:01.066Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:34:17.959Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:35:14.748Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:36:06.901Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:06.914Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:06.936Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:06.944Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:06.964Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:06.994Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.005Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.014Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.025Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.035Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.046Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.060Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.736Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.767Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.789Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.797Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
[V2 - 2026-04-22T23:36:07.806Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 4
